ID;Empty Spaces;Negative Space;Interesting Elements;Significant Jumps;Linearity;Leniency;Avg Enemy Comp;Density
335;0,8855654;0,31423202;0,18330605;0,51724136;0,34713376;0,27;0,28186813;0,1845238
336;0,90747786;0,25082198;0,1309329;0,41379312;0,5732484;0,28;0,03877551;0,21428572
337;0,82511723;0,3865665;0,27659574;0,5862069;0,46496814;0,23;0,43622446;0,27380952
338;0,90672225;0,28511038;0,15220949;0,5862069;0,3184713;0,37;0,49761906;0,16071428
339;0,94374675;0,18365431;0,04418985;0,55172414;0,63375795;0,26;0,40714285;0,21428572
34;0,8930904;0,15288962;0,13845874;0,86206895;0,3431803;0,73;0,38201058;0,48809522
340;0,96339244;0,18083608;0,034369886;0,27586207;0,38853502;0,17;0,2442857;0,13095239
341;0,95583636;0,17566933;0,049099836;0,4827586;0,58280253;0,35;0,2908163;0,14285715
342;0,6989317;0,53405356;0,4500818;0,4827586;0,36942673;0,2;0,5532967;0,25
343;0,93770194;0,1831846;0,05728314;0,7586207;0,6528662;0,43;0,34380952;0,24404761
344;0,9044555;0,2287459;0,09656301;0,51724136;0,58280253;0,22;0,58809525;0,3809524
345;0,9475247;0,21418506;0,07364975;0,3448276;0,45222926;0,17;0,20357142;0,08928572
346;0,83871806;0,36824802;0,2684124;0,5862069;0,47133756;0,3;0,28186813;0,27380952
347;0,9694372;0,17895725;0,062193125;0,4827586;0,6815287;0,33;0,045238096;0,083333336
348;0,8991662;0,23626116;0,13256955;0,51724136;0,57961786;0,44;0,35285714;0,39285713
349;0,8213392;0,31235322;0,17839606;0,37931034;0,24840763;0,2;0,3279762;0,6845238
35;0,9174419;0,116559416;0,13977739;0,6551724;0,48319787;0,84;0,4885714;0,3809524
350;0,93316835;0,19821513;0,070376426;0,6896552;0,843949;0,4;0,2590909;0,29761904
351;0,9664148;0,15406294;0,05728314;0,55172414;0,6815287;0,34;0,7803571;0,041666668
352;0,91125584;0,26632223;0,12765957;0,4827586;0,2675159;0,28;0,428022;0,1845238
353;0,9263679;0,22123064;0,06382979;0,41379312;0,18471336;0,22;0,58809525;0,25
354;0,89538825;0,22639737;0,06546645;0,3448276;0,35031846;0,21;0,19603173;0,52380955
355;0,9649036;0,19351809;0,024549918;0,31034482;0,3152866;0,1;0,0;0,10714286
